303,生津、解酒、醒脾、除烦
304,利胆、清肝、助运、健脾
305,利湿、清肠
306,散瘀、解毒、活血、清热
307,止痛、平肝
308,强筋骨、益气力
309,解毒、通络、活血、消肿
310,利咽、解毒、凉血、清热
311,排脓、解毒、活血、清热
312,解毒、清热
313,燥湿、解毒、止痒
314,解毒、活血、利湿、下乳
315,散瘀、凉血、止痛、清热
316,利咽、清肺、消肿、止血
317,安胎、活血、祛风湿、止痛、补肝肾、下乳
318,止痛、清热
319,除湿、催乳、活血、止痛、祛风
320,化瘀消肿解毒
321,活血消肿止痛
322,活络、舒筋、散寒、祛风
323,止血、解毒
324,散瘀、解毒、止痛、消肿、止血、清热
325,消食、解毒、利水、活血、止痛、杀虫、通便
326,健脾利湿和胃、活血、消肿
327,补益
328,和胃、敛疮
329,生肌、敛疮
330,散热、散风、解毒、明目
331,解毒、止痛、消肿、清热
332,解毒、收敛、止血、清热
333,消积、通经、祛瘀、行气
334,消暑、化湿、健脾、和胃
335,解毒、消肿、消暑、利湿
336,和中、化湿
337,和中、健脾、解暑、化湿
338,消暑、止血、化湿
339,解毒、消肿、清热
340,消食、温中、行气、止痛、降逆、散寒、截疟
341,温中、止痛、散寒、下气
342,祛痰、解毒、化瘀、清热
343,蠲痹、益气、补虚、祛风
344,敛汗、安神、润肠、通便、养心
345,疗疮、驱风、除温、解毒
346,生肌、敛疮、凉血、止血
347,和中、安神、止血、祛风
348,解毒、清热
349,解毒、敛疮、凉血、生发
350,利尿、通淋、明目、止血、清肝
351,止咳、解表
352,消积、化痰、生津、清热
353,散瘀、解毒、止痛、清热
354,杀虫、止痒、祛风
355,补五脏、强筋骨、益气血
356,温中、行水、止痛、理气
357,补血、益心肝、补气
358,强筋骨、安神、祛风湿、镇惊
359,滋阴、解毒、明目、清热
360,止渴、解毒、明目、清热
361,解毒、止血、化瘀、清热
362,解毒、凉血、清肺、化痰、止痢、止血
363,除湿、消疳、通络、化痰、健脾、清热
364,消积、化痰、燥湿、清热
365,止咳、解毒、止痢
366,消食、和胃、止泻
367,平喘、止咳、明目、清肝
368,养血、润燥、平肝、止血
369,祛风湿、利湿浊
370,解毒、收敛、止血、清热
371,利湿、解毒、祛风
372,解毒、消痈、利湿、祛风
373,散瘀、解毒、止痛、杀虫、祛风
374,解毒、凉血、利湿、消肿、止血、清热
375,解毒、止泻、清热
376,利水、杀虫、通淋、止痒
377,补肺、养阴、生津、健脾
378,凉血、透疹
379,除湿、平喘、止咳、止血、祛风
380,润肺、解毒、行气、活血、益气、消肿、止咳、补肾
381,解毒、凉血、止血、清热
382,蚀疮、散结、逐瘀、攻毒
383,止血
384,通窍、通经、利水、活血
385,续筋、接骨、清湿热、解毒
386,祛风湿、壮肾阳
387,润肺、止咳、止痒、祛风
388,生肌、解毒、敛疮、清热
389,明目、益气、补肾
390,发汗、止痛、镇静、解热
391,解毒、消肿
392,补肾阳、壮腰膝
393,角毒、利尿、止咳、清热
394,泻下、导滞、通络、消肿、利窍、拔毒
395,滑肠、润肤
396,除湿、消肿、拔毒、祛风
397,解痉、活血、消肿、祛风
398,除湿、止痛、祛风
399,missing
400,凉血、止血
401,健胃、止咳、止渴
402,消积、驱虫、行水、下气、截疟
403,活血、止血、敛汗、涩精、止痛
404,解毒、行气、止痛、清热
405,解毒、凉血、止血、清热
406,清热解毒利湿
407,解毒、止痛、消肿、清热
408,平喘、解毒、平肝、利水、通淋、止咳、明目
409,平喘、利水、化痰、止咳、宣肺
410,解毒、清热
411,解毒、活血、清热、祛风
412,解毒、清热
413,止咳、润肺
414,疏风、清热
415,疏风、清热
416,散热、散风、清头目
417,散热、散风、清头目、透疹、解郁、利咽喉
418,固精、祛风杀虫止痒、壮阳
419,除湿、通络、舒筋、祛风
420,除湿、解毒、通络、活血、消肿、祛风
421,活络、散结、消肿、舒筋
422,抗癌
423,除湿、活络、舒筋、祛风
424,解毒、通淋、止血、清热
425,清利肝胆
426,解毒、敛疮、止血、清热
427,解毒、定惊、止血、清热
428,解毒、散结、定惊、祛风
429,利湿、解毒、健脾
430,平喘、解毒、利湿、消肿、止咳、清热
431,解毒、利水、消肿、清热
432,解毒、清热
433,除湿、祛风、解毒、活血、止痛、清热
434,滋阴、通络、活血、清热
435,清退虚热、滋阴、补肾
436,滋阴、散结、软坚、退热
437,活血被动瘀、接骨、续筋
438,行气、宽中
439,解毒、杀虫、止痒、祛风
440,固脱、缩尿、补中、益气
441,开郁、祛瘀、活血、行气、止痛、祛风
442,除湿、祛风
443,除湿、行气、止痛、祛风
444,祛瘀、活血、利湿、祛风
445,温中、行气、止痛、和胃
446,通经、利尿、下乳、清热
447,肋运、清肺、养阴、健脾
448,行气、活血、止痛、散寒、温经
449,消积、利湿、杀虫、通淋、止血、清热
450,胜湿、止痛、发表、祛风
451,益肾、固脱、补肝、收敛
452,凉血、解毒
453,利湿、解毒、清热
454,润肺、散结、化痰、消肿、止咳、清热
455,平喘、止痛、止咳、舒筋
456,缓泻
457,凉血、通虚热、清热
458,利湿、健脾、祛风
459,祛痰、止泻、渗湿、利尿、明目、清热
460,解毒、凉血、利尿、清热
461,活血、益气养阴润肺
462,祛风、利湿、止咳、清热
463,凉血、止咳、止血、清热
464,解毒、清热
465,利湿、止咳、止血、清热
466,止咳、化痰、平喘
467,降气、宣散风热、祛痰
468,解毒、止痛、消肿、清热
469,逐饮、泻水
470,祛寒、温中、止痛、健胃
471,除湿、活血、舒筋、祛风
472,明目、解毒、清热
473,解毒、利湿、清热、祛风
474,解毒、平肝、抗癌、清热
475,散瘀、止血、解毒
476,解毒、通络、活血、清热
477,解毒、凉血、止血、清热
478,止咳、化痰、平喘
479,除湿、解毒、活血、祛风
480,调经、补血
481,解毒
482,生肌、止血、定痛
483,解毒、活血、消肿、祛风
484,活血、调经、清热、解毒、通利二便
485,明目、清心
486,除湿、活血、止痛、祛风
487,止渴、缩尿、固肾、明目
488,解毒、利水、行气、消肿、明目
489,利水消肿退黄、清热解毒消痈
490,散瘀、接骨
491,生肌、敛疮、收湿、收敛、涩肠、止血
492,祛瘀、凉血、活血、清热
493,活血、补脾、缓肝、散瘀
494,益肾、解毒、活血、定喘、利湿、消肿、健脾、祛风
495,解毒、收敛、止血、清热
496,续筋、接骨、收敛、止血
497,调经、活血、行气、止痛
498,活血、行瘀、祛风、胜湿、解毒、止痛
499,利咽、祛痰、排脓、清肺
500,利水、消肿
501,止痛、泻火、祛风
502,除湿、止痒、祛风
503,利湿、解毒、消热
504,散热、除湿、解毒、祛风
505,透疹
506,止血、利尿、清热
507,利水、解毒、消肿
508,和脾、止痢
509,补气、通络、止咳、助阳
510,解毒、消肿、止痒、祛风
511,除湿、活血、止痛、杀虫、止痒、祛风
512,除湿、散瘀、解毒、凉血、祛风
513,除湿、活血、止痛、祛风
514,消积、散瘀、止痛、舒筋
515,涩肠、收敛、止痛
516,调经、消食、敛肺、活血、止咳、健脾
