ID,名称,别名,性味,归经,功效,主治,entity,摘自
384300,罗裙带根,文殊兰,凉、苦、辛、毒, ,止痛、清热、解毒、散瘀,"['痈疽疮肿', '疥癣', '乳痈', '喉痛', '牙痛', '风湿关节痛', '跌打损伤', '骨折', '毒蛇咬伤']",痈 疮疥 乳痈 咽喉肿痛 齿痛 寒湿 跌打损伤,中华本草
384400,罗裙带,万年青、扁担叶、郁蕉、水笑草、裙带草、水蕉、郁金叶、引水蕉、海带七、腰带七、斩蛇剑、破龙刀、金武剑、王带风、海蕉、九筋草、朱兰叶,凉、苦、辛, ,止痛、清热、解毒、祛瘀,"['热疮肿毒', '淋巴结炎', '咽喉炎', '头痛', '痹痛麻木', '跌打瘀肿', '骨折', '毒蛇咬伤']",疮疥 淋 头痛 麻木 跌仆,中华本草
384500,罗勒子,兰香子、光明子,凉、甘、辛, ,清热、祛翳、明目,"['目亦肿痛', '倒睫目翳', '走马牙疳']",肿痛 疳,中华本草
384600,罗勒根,missing,平、苦, ,敛疮、收湿,['黄烂疮'],,中华本草
384700,罗勒,熏草、燕草、蕙草、西王母菜、兰香、零陵香、香草、香菜、铃铃香、铃子香、翳子草、矮糠、千层塔、九层塔、香花子、家佩兰、苏薄荷、紫苏薄荷、鱼香、薄荷树、省头草、香佩兰,温、甘、辛,肺、脾、胃、大肠,和中、消肿、解表、化湿、活血、行气、解毒、疏风,"['感冒头痛', '发热咳嗽', '中暑', '食积不化', '不思饮食', '脘腹胀满疼痛', '哎吐泻痢', '风湿痹痛', '遗精', '月经不调', '牙痛口臭', '胬肉遮睛', '皮肤湿疮', '瘾疹瘙痒', '跌打损伤', '蛇虫咬伤']",感冒 头痛 遍身壮热 咳嗽 中热 食积 饮食不下 胀满 疼痛 吐泻 痢不止 寒湿 月经不调 齿痛 口臭 湿疮 瘾疹瘙痒 跌打损伤,中华本草
384800,罗汉松叶,江南柏叶、江西侧柏叶,平、淡, ,止血,"['吐血', '咳血']",吐血不止 咳血,中华本草
384900,罗汉松实,missing,温、甘, ,止痛、温中、行气、补血,"['胃脘疼痛', '血虚面色萎黄']",疼痛 血亏 面色黄青,中华本草
385000,罗汉松根皮,missing,温、苦、甘, ,祛风、除温、活血、止痒、祛瘀,"['跌打损伤', '风湿痹痛', '癣疾']",跌打损伤 寒湿,中华本草
385100,罗汉果根,missing, , ,利湿、止泻、舒筋,"['腹泻', '舌胖', '脑膜炎后遗症']",腹泻,中华本草
385200,罗汉果,拉汗果、假苦瓜、光果木鳖、金不换、罗汉表、裸龟巴,凉、甘,肺、脾,止咳、利咽、润肠、清肺、化痰、通便,"['肺热痰炎咳嗽', '咽喉炎', '扁挑体炎', '急性胃炎', '便秘']",气怒肺热 咳嗽 大便结燥,中华本草
385300,罗锅底,金盆、金龟盆、金银盆、土马兜铃、小金瓜、野黄瓜、金吊嫩黄瓜、金茨菇、土瓜内消、苦金盆、金腰莲金盆、苦丁板、盘莲,寒、苦、毒,心、胃、大肠,止痛、清热、消肿、止血、解毒、利湿、热解毒,"['咽喉肿痛', '牙痛', '目赤肿痛', '胃痛', '菌痢', '肠炎', '肝炎', '尿路感染', '前列腺炎', '痔疮', '子宫颈炎', '痈肿疔疮', '外伤出血']",咽喉肿痛 齿痛 眼赤 痢不止 痔疮 痈 疔疮 出血,中华本草
385400,罗盖叶,missing, , ,除湿、活血,"['跌打肿痛', '风湿痹痛']",跌仆 肿痛 寒湿,中华本草
385500,罗浮柿根,黑浮柿根,平、苦、涩, ,健脾、利湿,"['纳呆', '腹泻']",腹泻,中华本草
385600,罗浮柿,missing,凉、苦、涩, ,收敛、解毒、止泻、消炎,"['食物中毒', '腹泻', '痢疾', '水火烫伤']",腹泻 痢不止,中华本草
385700,罗布麻,吉吉麻、羊肚拉角、红花草、野茶、泽漆麻、茶叶花、红麻、披针叶茶叶花、小花野麻、野茶叶、草本夹竹桃、小花罗布麻、红柳子、泽漆棵、盐柳、野柳树,凉、苦、甘, ,平肝、清热、消肿、利水,"['高血压', '眩晕', '头痛', '心悸', '失眠', '水肿尿水']",眩晕 头痛 心神惊悸 不睡 水肿,中华本草
385800,轮叶马先蒿,missing,温、苦、甘, ,益气、养心、安神、生津,"['气血不足', '体虚多汗', '多悸怔忡']",血气不足 肌体羸瘦 有汗 怔忡不宁,中华本草
385900,轮叶铃子香,missing,寒、苦、甘, ,清肝、明目,['角膜炎'],,中华本草
386000,轮叶棘豆,打夏,凉、苦,肝、心,消肿、止血、解毒、止泻,"['肠炎腹泻', '创伤出血', '疮疖肿痛']",腹泻  出血 疖 肿痛,中华本草
386100,轮叶八宝,还魂草、打不死、轮叶景天、楼台还阳、酱子草、三角还阳、鸡眼睛、岩三七、胡豆七,凉、苦, ,消肿、活血、化瘀、解毒,"['劳伤腰痛', '金创出血', '无名肿痛', '蛇虫咬伤']",冲任不固 腰痛 出血 肿痛,中华本草
386200,轮伞五加,五加皮、刺五加,温、苦、辛, ,筋骨、补肾、强筋、散风、活血、强筋骨、散风湿,"['风湿性关节痛', '小儿筋骨痿软', '阳痿', '跌打损伤']",寒湿 骨弱 跌打损伤,中华本草
386300,炉甘石,甘石、卢甘石、芦甘石、羊肝石、浮水甘石、炉眼石、干石,平、温、甘、毒,肝、肺、脾,敛疮、去翳、明目、止痒、生肌、收湿,"['目赤肿痛', '烂弦风眼', '多泪怕光', '翳膜胬肉', '溃疡不敛', '皮肤湿疮', '阴部湿痒']",眼赤 肿痛 翳膜 下肢溃疡 湿疮,中华本草
386400,炉甘果,罗庚梅、角刺, , ,止泻、止泻痢,"['腹泻', '痢疾']",腹泻 痢不止,中华本草
386500,岭南铁角蕨,肥蕨,凉、苦,肝、肺、脾,清热、止咳、止血、解毒、化痰、消疳,"['感冒', '咳嗽', '痢疾', '蜈蚣咬伤', '外伤出血', '小儿疳积']",感冒 咳嗽 痢不止 出血 小儿疳,中华本草
386600,林问荆,missing,凉、苦,心,祛风、止痛、清热、凉血、止血、利尿,"['咯血', '尿血', '淋病', '痛风', '风湿疼痛', '癫痫']",咯血 小便尿血 淋 痛风 寒湿 疼痛 癫痫,中华本草
386700,林檎根,missing,平、苦,胃、大肠,止渴、杀虫,"['蛔虫病', '绦虫病', '消渴']",蛔虫 消渴,中华本草
386800,林檎,文林朗果、金林禽、红林禽、水林禽、密林禽、黑林禽、来禽、频婆果、文林果、朱柰、五色林檎、联珠果、花红果、花红、沙果、蜜果、五色柰,温、甘、酸、毒,肝、肺、心,止痛、和中、止渴、下气、宽胸、生津,['痰饮积食，胸膈痞塞，消渴，霍乱，吐泻腹痛，痢疾'],痰饮 胸膈 痞塞 消渴 霍乱 吐泻 肚腹痛 痢不止,中华本草
386900,竻慈姑,天河芋、勒茹茹、水刺芋、水竻钩、勒蒙、竻芋、竻藕、勒慈茹、勒芋、巧南、野茨茹、山茨茹、水勒芋、有勒慈姑、旱慈姑,凉、苦、辛,肺、心、膀胱,清热、消肿、健胃、解毒、利湿、消食,"['热病口渴', '岳热咳嗽', '小便黄赤', '肾炎水肿', '白带', '风湿痹痛', '跌打肿痛', '慢性胃炎', '消化不良', '小儿头疮', '胎毒', '痄腮', '淋巴结结核', '痈肿疮疖', '毒蛇咬伤']",热病 口干 咳嗽 小便短赤 水肿 带下 寒湿 跌仆 肿痛 消化不良 痄腮 淋 痈 疖,中华本草
387000,郎伞木,珍珠盖罗伞、大罗伞、硬骨伞、高脚鸡腿、小罗伞、胭脂木、雀儿肾,凉、苦、辛, ,止痛、清热、活血、解毒,"['咽喉肿痛', '风湿痹痛', '跌打损伤']",咽喉肿痛 寒湿 跌打损伤,中华本草
387100,拦路虎,喉痛药,寒、苦,肺、膀胱,下乳、清热、通经、消肿、解毒、利尿,"['主治咽喉肿痛', '水肿脚气', '湿热淋证', '闭经', '产妇乳汗不下']",咽喉肿痛 水肿 风湿脚气 湿热 淋证 月经不通,中华本草
387200,骆驼脂,驼脂、驼峰、峰子油,温、甘,肝、心,祛风、补虚、消肿、活血、解毒、润燥,"['体虚劳乏', '肌肤不仁皮肤瘙痒', '筋肉挛急', '疮疡肿毒', '痔漏']",肌体羸瘦 皮肤瘙痒 挛急 疮疥 肿毒 痔漏,中华本草
387300,骆驼蹄草,missing,凉、咸、辛,肝、心、膀胱,止痛、通络,['顽固性头痛'],头痛,中华本草
387400,骆驼肉,missing,温、甘,脾,壮骨、补气、补血、润肌、润肤、壮筋,"['外病虚损', '顽麻风痹', '肌肤不泽']",元气虚惫 风痹,中华本草
387500,骆驼蓬子,missing,温、苦,肝、肺,祛风、止咳、平喘、解郁、祛风湿,"['咳嗽气喘', '小便不利', '关节酸痛', '四肢麻木', '精神郁闷', '癔病']",咳嗽 喘促 大小便不通 四肢麻痹,中华本草
387600,骆驼蓬,苦苦菜、臭草、臭牡丹、沙蓬豆豆、臭古都、老哇瓜,平、苦、辛、毒,肝、肺、心,祛风、消肿、止咳、平喘、祛风湿、消肿毒,"['咳嗽气喘', '风湿痹痛', '无名肿毒', '皮肤瘙痒']",咳嗽 喘促 寒湿 无名肿毒 皮肤瘙痒,中华本草
387700,骆驼毛,驼绒,平、咸,肝、心,镇惊、收涩、解毒,"['痫癫狂，赤白带下', '崩漏', '痔疮', '疳疮']",癫痫 赤白带下 崩中漏下 痔疮 疳,中华本草
387800,骆驼黄,missing,凉、苦、毒,肝、心,清热、定惊,['风热惊疾'],热毒,中华本草
387900,络石藤,石鲮、明石、悬石、云珠、云丹、石磋、略石、领石、石龙藤、耐冬、石血、白花藤红对叶肾、对叶藤、石南藤、过墙风、爬山虎、石邦藤、骑墙虎、风藤、折骨草、交脚风、铁线草、藤络、见水生、苦连藤、软筋藤、万字金银、石气柑,寒、苦、辛,肝、肾、心,止痛、清热、凉血、消肿、解毒、通络,"['风湿痹痛', '腰膝酸痛', '筋脉拘挛', '咽喉肿痛', '疔疮肿毒', '跌打损伤', '外伤出血']",寒湿 腰膝酸痛或冷痛 四肢急掣 咽喉肿痛 疮疥 跌打损伤 出血,中华本草
388000,柳枝,杨柳条、柳条,寒、苦,肝、胃,祛风、消肿、解毒、利湿,"['风湿痹痛', '小便淋浊', '黄疸', '风疹瘙痒', '疔疮', '丹毒，龋齿', '龈肿。']",寒湿 小便浊败 黄疸 风疹 瘙痒 疔疮 丹毒,中华本草
388100,柳叶亚菊蒿,藏花儿、艾菊,平、苦、辛, ,清热、止咳,['肺热咳嗽'],气怒肺热 咳嗽,中华本草
388200,柳叶卫矛,missing,温、辛, ,止痛、消肿、活血、血消肿,['跌打损伤'],跌打损伤,中华本草
388300,柳叶剑蕨,肺痨草、石虎,凉、苦, ,清热、解毒、利尿,"['尿路感卵', '咽喉肿痛', '胃肠炎，狂犬咬伤。']",咽喉肿痛,中华本草
388400,柳叶见血飞,见血飞、血见愁、大伸筋、辣药,温、辛, ,祛风、止痛、除湿、活血,"['风温痹痛', '肢体麻木，虚寒胃痛', '腹痛吐泻', '妇女痛经', '闭经', '跌打损伤', '偏头痛', '神经痛', '面神经麻痹']",风温 肢体麻木 虚寒 肚腹痛 吐泻 经前腹痛 月经不通 跌打损伤 头痛 经前腹痛,中华本草
388500,柳叶蒿,missing,寒、苦, ,清热、解毒,"['肺炎', '扁桃体炎', '丹毒', '痈肿疔疖']",丹毒 痈 疖,中华本草
388600,柳叶鬼针草,missing,凉、苦, ,清热、活血、解毒、利血、利尿,"['腹泻', '痢疾', '咽喉肿痛', '跌打损伤', '风湿痹痛', '痈肿疮毒', '小便淋痛']",腹泻 痢不止 咽喉肿痛 跌打损伤 寒湿 痈 小便频涩痛,中华本草
388700,柳叶菜花,地母怀胎草花、水丁香花,凉、苦、甘,肝、胃,止痛、清热、调经、涩带,"['牙痛', '咽喉肿痛', '目赤肿痛', '月经不调', '白带过多']",齿痛 咽喉肿痛 眼赤 月经不调 带下不止,中华本草
388800,柳叶菜根,missing,凉、苦,肝、胃,清热、止咳、利咽、解毒、利湿、疏风,"['风热感冒', '音哑', '咽喉肿痛', '肺热咳嗽', '水肿', '淋痛', '湿热泻痢', '风湿热痹', '疮痈', '毒虫咬伤']",热毒 感冒 咽喉肿痛 气怒肺热 咳嗽 水肿 淋痛 湿热 痢不止 寒湿 痈,中华本草
388900,柳叶菜,地母怀胎草、水丁香、通经草、水兰花、菜子灵、水接骨丹、水窝窝、九牛造接骨丹、水接骨、继母怀胎、绒棒紫花草、长角草、鱼鳞草、大样干鱼草、光明草、小杨柳、锁匙筒、白带草、怀胎草、白带丹,寒、苦、淡, ,清热、理气、活血、解毒、利湿、止泻、消食、接骨,"['湿热泻痢', '食积', '脘腹胀痛', '牙痛', '月经不调', '经闭', '带下', '跌打骨折', '疮肿', '烫火伤', '疥疮']",湿热 痢不止 食积 腹内痛 齿痛 月经不调 月经不通 带下 跌仆 疮疥,中华本草
389000,柳叶斑鸠菊,米碌塞、铁珠草、白头升麻、白龙须,平、苦、辛, ,健脾、润肺、止咳、消食,"['咽喉肿痛', '肺结核', '咳嗽咯血', '折带', '子宫脱垂']",咽喉肿痛 咳嗽 咯血 子宫不收,中华本草
389100,柳叶,missing,寒、苦,肺、肾、心,平肝、止痛、清热、解毒、透疹、利尿,"['慢性气管炎', '尿道炎', '膀胱炎', '膀胱结石', '白浊', '高血压', '痈疽肿毒', '烫火伤', '关节肿痛', '牙痛', '痧疹', '皮肤瘙痒']",小便浊败 痈 肿毒 肿痛 齿痛 痧疹 皮肤瘙痒,中华本草
389200,柳絮,柳实、柳子,凉、苦, ,消痈、凉血、止血、解毒,"['吐血', '创伤出血', '痈疽', '恶疮']",吐血不止  出血 痈 疮疥,中华本草
389300,柳屑,柳蚛屑、柳蛀粪,寒、苦, ,祛风、除湿、止痒,"['风疹', '筋骨疼痛', '湿气腿肿']",风疹 身疼,中华本草
389400,柳杉叶,missing, , ,清热、解毒,['痈疽疮毒'],痈,中华本草
389500,柳杉,missing,寒、苦、辛, ,解毒、杀虫、止痒,"['癣疮', '鹅掌风', '烫伤']",癣疮,中华本草
389600,柳兰叶风毛菊,missing,平、苦, ,止痛、消肿、止血、散瘀,"['恶露不止', '少腹作痛', '尿血', '便血', '跌打损伤', '刀伤出血']",恶露未尽 作痛 小便尿血 大便后下血 跌打损伤 出血,中华本草
389700,柳花,杨花、柳椹、柳蕊,寒、苦, ,祛风、止血、利湿、散瘀,"['风水', '黄疸', '咳血', '吐血', '便血', '血淋', '经闭', '疮疥', '齿痛']",黄疸 咳血 吐血不止 大便后下血 淋证 月经不通 疮疥 齿痛,中华本草
389800,柳根,杨柳须、水柳须、红龙须、青龙须,寒、苦, ,祛风、通淋、利水、解毒、除痛、泻火,"['淋证', '白浊', '水肿', '黄疸', '痢疾', '白带', '风湿疼痛', '黄水疮', '牙痛', '烫伤', '乳痈。']",淋证 小便浊败 水肿 黄疸 痢不止 带下 寒湿 疼痛 齿痛 乳痈,中华本草
389900,柳穿鱼,missing,寒、苦、甘, ,清热、消肿、解毒、散瘀,"['感冒', '头痛头晕', '黄疸', '痔疮便秘', '皮肤病', '汤火伤']",感冒 头痛 眩晕 黄疸 痔疮 大便结燥 汤火伤,中华本草
390000,柳白皮,柳皮,寒、苦, ,祛风、止痛、消肿、利湿,"['风湿骨痛', '风肿瘙痒', '黄疸', '淋浊', '乳痈', '疔疮', '牙痛', '汤火烫伤']",寒湿 骨疼 风肿 瘙痒 黄疸 淋浊 乳痈 疔疮 齿痛,中华本草
390100,亮叶茉莉,四季素馨花,凉、涩,肝、肾、心,止痛、止血、散瘀,"['跌打损伤', '外伤出血', '疮疖']",跌打损伤 出血 疖,中华本草
390200,亮叶桦叶,光叶桦叶,凉、甘、辛, ,清热、解毒、利尿,"['水肿', '疖毒']",水肿 疖,中华本草
390300,亮叶桦皮,桦树皮、桦杆树皮,温、甘、辛, ,和中、散寒、解毒、消滞、祛湿,"['感冒', '风湿痹痛', '食积饱胀', '小便短赤', '乳痈', '疮毒', '风疹']",感冒 寒湿 食积 饱胀 小便短赤 乳痈 风疹,中华本草
390400,亮叶桦根,missing,凉、甘、辛, ,清热、利尿,"['小便不利', '水肿']",大小便不通 水肿,中华本草
390500,亮叶冬青根,missing,凉、甘、辛, ,祛风、除湿、活血、通络,['风湿痹痛'],寒湿,中华本草
390600,亮叶冬青,青皮子樵、鸡子樵、大叶帽子、猪黑樵,凉、甘、辛,肝、心,凉血、解毒,"['烧烫伤', '外伤出血']",出血,中华本草
390700,亮菌,假蜜环菌、易逝杯伞、青杠钻、光菌、发光小蜜环菌,寒、苦,肝、胆,清热、解毒,"['急慢性胆囊炎', '胆道感染', '肝炎', '阑尾炎', '中耳炎。']",惊风,中华本草
390800,亮光菜,missing, , ,活血、解毒、通络,"['跌打损伤', '蛇咬伤']",跌打损伤,中华本草
390900,荔枝叶,missing,凉、苦、辛,心,除湿、解毒,"['烂疮', '湿疹']",急性湿疹,中华本草
391000,荔枝藤,牛见愁、红叶藤、牛栓藤、霸王藤、伍藤、铁藤,凉、苦、涩,心,止痛、清热、消肿、止血、解毒、热解毒,['疮疖，跌打肿痛，外伤出血'],疖 跌仆 肿痛 出血,中华本草
391100,荔枝壳,missing,凉、苦,心,除湿、止血、止痢,"['痢疾', '血崩', '湿疹']",痢不止 血崩 急性湿疹,中华本草
391200,荔枝核,荔仁、枝核、荔核、大荔核,温、苦、甘,肝、脾、肾,止痛、理气、散滞、祛寒,"['疝气痛', '睾丸肿痛', '胃脘痛', '痛经及产后腹痛']",疝气 肿痛 胃脘胀痛 经前腹痛 产后 肚腹痛,中华本草
391300,荔枝草,水羊耳、过冬青、天明精、凤眼草、赖师草、隔冬青、雪里青、皱皮葱、癞子草、野芝麻、癞客蚂草、野卜荷、是蟆草、膨胀草、沟香薷、麻麻草、青蛙草、野猪菜、雪见草,凉、苦、辛,肺、胃,清热、消肿、利水、解毒、散瘀、凉散瘀,"['感冒发热', '咖啡肿痛', '肺热咳嗽', '咳血', '吐血', '尿血', '崩漏', '痔疮出血', '肾炎水肿', '白浊', '痢疾', '痈肿疮毒', '湿疹瘙痒', '跌打损伤', '蛇虫出血', '肾炎水肿', '白浊', '痢疾', '痈肿疮毒', '湿疹瘙痒', '跌打损伤', '蛇虫咬伤']",感冒 遍身壮热 肿痛 气怒肺热 咳嗽 咳血 吐血不止 小便尿血 崩中漏下 痔疮 出血 水肿 小便浊败 痢不止 痈 急性湿疹 瘙痒 跌打损伤,中华本草
391400,荔枝,离支、荔支、荔枝子、离枝、丹荔、火山荔、丽枝、勒荔,温、甘、酸,肝、脾,健脾、养血、消肿、行气,"['病后体虚，津伤口渴', '脾虚泄泻', '呃逆', '食少', '瘰疬', '疔肿', '外伤出血']",肌体羸瘦 口干 痢不止 干呕 饮食不下 瘰疬 疔毒 出血,中华本草
391500,疬子草,蛮刀背、下延叶排草、大羊古臊、马兰花、狮子草、白当归、黑疔草、树胡椒,平、苦、辛, ,散结、清热、活血、解毒,"['喉痹', '疔疮肿毒', '月经不调', '跌打损伤']",咽喉肿痛 疮疥 月经不调 跌打损伤,中华本草
391600,栎叶槲蕨,树上槲蕨、树骨碎补,温、苦,肾,祛风、补肾、续骨、活血、止血、祛风湿,"['痹证日久', '肝肾两虚', '腰膝痛', '筋脉拘挛', '肾虚耳鸣', '牙痛', '尿多', '跌打损伤', '骨折', '外伤出血。']",肝肾两虚 腰膝酸痛或冷痛 四肢急掣 肾虚 耳内虚鸣 齿痛 跌打损伤 出血,中华本草
391700,烂泥蒿,missing,温、辛, ,止痛、活血,['跌打肿痛'],跌仆 肿痛,中华本草
391800,茖葱,格葱、山葱、隔葱、鹿耳葱、角葱、天蒜、岩蒜,温、辛,肺,止血、解毒、散瘀,"['跌打损伤', '血瘀肿痛', '衄血', '疮痈肿痛']",跌打损伤 血瘀 肿痛 衄血 痈,中华本草
391900,栾樨,格杂树,温、甘, ,散结、祛风、除湿、去积、暖胃,"['小儿食积', '瘿瘤痰核', '风湿骨痛']",食积 痰喘 寒湿 骨疼,中华本草
392000,栾华,missing,寒、苦,肝,清肝、明目,"['目赤肿痛', '多泪']",眼赤 肿痛,中华本草
392100,鸬鹚涎,missing,平、咸,肺,镇咳、化痰,['百日咳'],,中华本草
392200,鸬鹚肉,鷧、水老鸦、摸鱼公、鱼鹰,寒、咸、酸,脾,消肿、利水,['水肿腹大'],水肿 腹大,中华本草
392300,鸬鹚骨,missing,平、咸、酸,肾,化骨、去斑、化骨鲠,"['鱼骨骾喉', '面部雀斑']",雀斑,中华本草
392400,鸬鹚翅羽,鸬鹚羽,温、苦、咸、辛,肝,软坚、化骨,['鱼骨鲠喉'],,中华本草
392500,留师蜜,missing,寒、甘,心、胃,清心、泻火,"['龋齿', '口疮']",口烂,中华本草
392600,留兰香,南薄荷、升阳菜、香花菜、绿薄荷、鱼香菜、血香菜、狗肉香、假薄荷、皱叶薄荷、香薄荷,温、辛, ,理气、和中、解表,[''],,中华本草
392700,流苏子根,癞蜗藤、小青藤、牛老药藤,凉、苦、辛, ,祛风、除湿、止痒,"['皮炎', '湿疹篷痒', '荨麻疹', '风湿痹痛', '疮疥']",皮炎 急性湿疹 寒湿 疮疥,中华本草
392800,铃兰,香水花、芦藜花、鹿铃草、铃铛花、小芦藜、草寸香,温、苦、甘、毒, ,祛风、利水、活血、温阳,"['充血性心力衰竭', '风湿性心脏病', '阵发性心动过速', '浮肿']",寒湿 浮肿,中华本草
392900,铃当子,missing,寒、甘,脾,泻下、消积,"['大便秘结', '食积腹胀']",大便结燥 食积 心腹胀,中华本草
393000,凌霄花,芰华、紫葳华、苃华、陵霄花、堕胎花、藤萝花、吊墙花、杜灵霄花,寒、酸,肝,散结、祛风、清热、凉血、化瘀、止痒,"['血滞经闭', '痛经', '症瘕', '崩中漏下', '血热风痒', '疮疥陷疹', '酒齄鼻。']",血滞 月经不通 经前腹痛 结生瘕聚 崩中漏下 血热 疮疥 丹疹,中华本草
393100,凉山虫草,missing,平、甘,肺、肾,补肺、益肾,['虚喘劳嗽'],虚喘 劳嗽,中华本草
393200,凉伞盖珍珠,missing,平、苦、辛, ,止痛、活血,"['风湿痹痛', '经闭', '跌打损伤']",寒湿 月经不通 跌打损伤,中华本草
393300,凉三七,路党参,凉、苦、涩、甘, ,镇痛、清热,"['感冒发热', '咳嗽', '跌打损伤']",感冒 遍身壮热 咳嗽 跌打损伤,中华本草
393400,凉粉草,仙人草、仙人冻、仙草,寒、甘、淡, ,清热、凉血、消暑、解毒,"['中者', '糖尿病', '黄疸', '泄泻', '痢疾', '高血压病', '肥肉', '关节疼痛', '急性肾炎', '风火牙痛', '烧烫伤', '丹毒', '梅毒', '漆过敏']",黄疸 痢不止 痢不止 关节疼 风疮 齿痛 丹毒,中华本草
393500,莲座叶通泉草,小仙桃草,凉、苦、辛, ,退黄、清热、止咳、疏风,"['感冒发热', '头痛', '鼻塞', '肺热咳嗽', '黄疸型肝炎']",感冒 遍身壮热 头痛 鼻塞多嚏 气怒肺热 咳嗽 黄疸,中华本草
393600,莲座蓟,食用蓟,凉、甘, ,托毒、消肿、排脓、止血、散瘀,"['肺脓肿', '支气管炎', '疮痈肿毒', '吐血', '咯血', '尿血', '崩漏']",痈 肿毒 吐血不止 咯血 小便尿血 崩中漏下,中华本草
393700,莲座革菌,missing,平、甘, ,祛风、散寒、活络、舒筋,"['风湿痹痛', '筋脉拘挛']",寒湿 四肢急掣,中华本草
393800,莲子心,薏、苦薏、莲薏、莲心,寒、苦,肺、肾、心,平肝、固精、止血、清心、清心火、平肝火,"['神昏谵语', '烦燥不眠', '眩晕止赤', '吐血', '遗精']",神昏 言语謇涩 烦燥 不睡 眩晕 吐血不止,中华本草
393900,莲子,的、薂、藕实、水芝丹、莲实、泽芝、莲蓬子、莲肉,平、涩、甘,肝、脾、肾、心、胃、膀胱,固精、养心、补脾、益肾、止泻、安神,"['脾虚久泻', '泻久痢', '肾虚遗精', '滑泄', '小便不禁', '妇人崩漏带下', '心神不宁', '惊悸', '不眠']",久泻 久痢 肾虚 滑泄 大小便不通 崩中漏下 带下 心神不宁 惊悸 不睡,中华本草
394000,莲衣,莲皮,平、苦、涩,脾、心,收涩、止血,"['吐血', '衄血', '下血']",吐血不止 衄血 月经过多,中华本草
394100,莲须,金樱草、莲花须、莲花蕊、莲蕊须、佛座须,平、涩、甘,肾、心,止血、清心、涩精、益肾,"['遗精', '尿频', '遗尿', '带下', '吐血', '崩漏']",小便利数 淋沥不断 带下 吐血不止 崩中漏下,中华本草
394200,莲雾根,missing, , ,利湿、止痒,"['小便不利', '皮肤湿痒']",大小便不通,中华本草
394300,莲雾,missing,寒、苦,肝、心,燥湿、解毒、泻火、止痒,"['口舌生疮', '鹅口疮', '疮疡湿烂', '阴痒']",口烂 口烂 疮疥 阴痒,中华本草
394400,莲生桂子花,芳草花、金凤花、莲生桂子草、七姊妹、野鹤嘴、状元红、草木棉、细牛角仔树、羊角丽、唐棉、竹林标、野辣子、金银花台、金盏银台、连生桂枝、野辣椒、透云花、山桃花、水羊角、女金丹、半天花、刀口药,寒、苦、毒, ,止痛、清热、消肿、活血、止血、解毒,"['咽喉肿痛', '肺热咳嗽', '热淋', '月经不调', '崩漏', '带下', '痈疮肿毒', '湿疹', '顽癣', '创伤出血']",咽喉肿痛 气怒肺热 咳嗽 热淋 月经不调 崩中漏下 带下 痈 疮疥 急性湿疹  出血,中华本草
394500,莲蓬草,橐吾、独脚莲、荷叶术、荷叶三七、岩红、独足莲、铁铜盘、野金瓜、作角乌、铁冬苋、大马蹄、马蹄当归、一叶莲、活血莲、大马蹄香、熊掌七,凉、苦、甘、辛, ,散结、清热、凉血、消肿、止血、解毒,"['感冒', '咽喉肿痛', '咳嗽咯血', '便血', '尿血', '朋经不调', '乳腺炎', '瘰疬', '痈疖肿毒', '痈疮湿疹', '跌打损伤', '蛇咬伤']",感冒 咽喉肿痛 咳嗽 咯血 大便后下血 小便尿血 不调 瘰疬 痈 疖 肿毒 急性湿疹 跌打损伤,中华本草
394600,莲花,菡萏、荷花、水花、芙蓉,平、苦、甘,肝、心,去湿、止血、散瘀、消风,"['损伤呕血', '血淋', '崩漏下血', '天泡湿疮', '疥疮瘙痒']",冲任不固 咯血 淋证 崩中漏下 湿疮 瘙痒,中华本草
394700,莲房,莲蓬壳、莲壳、莲蓬,平、苦、涩,肝、脾,止血、消瘀,"['崩漏', '月经过多', '便血', '尿血']",崩中漏下 月经过多 大便后下血 小便尿血,中华本草
394800,栗子,板栗、 栗果、木巽)子、(木奄)子、栗果、大栗,平、咸、甘,脾、肾,健脾、益气、补肾、消肿、强筋、活血、止血、血消肿,"['脾虚泄泻', '反胃呕吐', '脚膝酸软', '筋骨折伤肿痛', '瘰疬', '吐血', '衄血', '便血']",痢不止 反胃 干呕 脚膝酸软 肿痛 瘰疬 吐血不止 衄血 大便后下血,中华本草
394900,栗叶,missing,平、甘, ,消肿、止咳、解毒、清肺,"['百日咳', '肺结核', '咽喉肿病', '肿毒', '漆疮']",肿毒 漆疮,中华本草
395000,栗树皮,栗树白皮,平、苦、涩, ,收敛、消肿、止血、解毒,"['癞疮', '丹毒', '口疳', '漆疮', '便血', '鼻衄', '创伤出血', '跌仆伤痛']",癞疮 丹毒 疳 漆疮 大便后下血 鼻衄  出血 跌仆,中华本草
395100,栗树根,missing,平、苦, ,止痛、调经、活血、行气,"['疝气偏坠', '牙痛', '风湿关节痛', '月经不调']",疝气 偏坠 齿痛 寒湿 月经不调,中华本草
395200,栗毛球,栗毛壳、栗刺壳、风栗壳、板栗壳斗,平、涩、甘, ,散结、清热、止血、化痰,"['丹毒', '瘰疬痰核', '百日咳', '中风不语', '便血', '鼻衄']",丹毒 瘰疬 痰喘 中风 言语不得 大便后下血 鼻衄,中华本草
