ID,名称,别名,性味,归经,功效,主治,entity,摘自
69900,三点金草,三脚虎、 六月雪福建、 广东、 纱帽草、 斑鸠窝云南、 品字草、 三点桃、 哮灵草,温、苦、辛, ,止痛、散寒、行气、解毒、温经,['中暑腹痛，疝气痛，月经不调，痛经，产后关节痛，狂犬病'],中热 肚腹痛 疝气 月经不调 经前腹痛 产后,全国中草药汇编
70000,丝毛毛毡草,毛毡草, , ,清热、利尿,['急、慢性肾炎'],,全国中草药汇编
70100,水苋菜,水马桑、 水豆瓣、 肉矮陀陀,凉、甘、淡, ,清热、解毒、利湿,"['肺热咳嗽，痢疾，黄疸型肝炎，尿路感染', '痈疖 肿毒']",气怒肺热 咳嗽 痢不止 黄疸 痈 疖 肿毒,全国中草药汇编
70200,水虾子草,鸭脷草、 定经草,平、苦、甘, ,清热、消肿、解毒,['肺热咳嗽，喉炎，蛇咬伤，扭伤'],气怒肺热 咳嗽,全国中草药汇编
70300,水红袍,missing,寒、苦、辛, ,消肿、解毒、散瘀,['跌打损伤，外伤出血，骨折，烧烫伤，疮疖，乳腺炎，蛇咬伤'],跌打损伤 出血 疖,全国中草药汇编
70400,石蟹,石螃蟹,寒、咸, ,清热、去翳、利湿、明目,['目赤，角膜云翳，尿路感染，白带'],眼赤 翳膜 带下,全国中草药汇编
70500,石蜡红,月月红、 天竺葵,凉、苦、涩, ,清热、消炎,['中耳炎'],,全国中草药汇编
70600,石茶,东南长蒴苣苔、 石麻婆子草、 石芥菜,凉、苦, ,解毒,['主要上呼吸道感染疾患'],,全国中草药汇编
70700,伞梗虎耳草,松木蒂,凉、苦, ,清热、解毒、热解毒、利肝胆、清利肝胆,['传染性肝炎，风热感冒'],热毒 感冒,全国中草药汇编
70800,杉木,杉、 杉树、 正杉、 刺杉、 天蜈蚣、 千把刀,温、辛, ,祛风、止痛、止血、散瘀,"['慢性气管炎，胃痛，风湿关节痛', '跌打损伤，烧烫伤，外伤出血，过敏性皮炎']",寒湿 跌打损伤 出血 过敏性皮炎,全国中草药汇编
70900,沙糖木,珊瑚树、 香柄树、 柄饭树、 麻油香、 草禾树、 高栌树、 山猪肉、 沙掌树,温、辛, ,清热、通经、活络、拔毒、祛湿、生肌,['感冒，风湿，跌打肿痛，骨折'],感冒 寒湿 跌仆 肿痛,全国中草药汇编
71000,沙七,白小黄,凉、苦, ,清热、止血、消炎、生肌,['肺热咳嗽，咽喉疼痛，大便下血，外伤出血，骨折，跌打扭伤，风湿痹痛等'],气怒肺热 咳嗽 疼痛 大便后下血 出血 跌仆 寒湿,全国中草药汇编
71100,沙参,南沙参、 泡参、 泡沙参,凉、甘, ,清热、润肺、养阴、止咳,['气管炎，百日咳，肺热咳嗽，咯痰黄稠'],气怒肺热 咳嗽,全国中草药汇编
71200,松打七,missing,平、苦、涩, ,祛风、除湿、活络、舒筋,['咳嗽，痰多，风湿痛，腹泻，内外伤出血，跌打扭伤'],咳嗽 多痰 寒湿 腹泻 出血 跌仆,全国中草药汇编
71300,树救主,假八角、 小花八角、 土八角、 野八角,温、辛, ,止痛、消肿、行气、散瘀,['胃痛，胸腹气痛，跌打损伤'],气痛 跌打损伤,全国中草药汇编
71400,索骨丹,水五龙、 慕荷、 牛角七、 红骡子、 鬼灯檗、 山藕、 作合山、 红药子、 黄药子陕西,平、苦、涩、毒, ,凉血、消肿、止血、解毒,"['甲状腺肿，咽喉肿痛，衄血，吐血，咯血，崩漏，腹泻，痢疾，便血', '外伤出血，子宫脱垂']",咽喉肿痛 衄血 吐血不止 咯血 崩中漏下 腹泻 痢不止 大便后下血 出血 子宫不收,全国中草药汇编
71500,蛇藤,穿山龙福建,温、苦、辛、毒, ,活血、行气、祛湿、疏风,[''],,全国中草药汇编
71600,蛇莓,蛇泡草、 蛇盘草、 蛇果草、 龙吐珠、 宝珠草、 三匹风、 三叶莓、 地杨梅、 三爪风、 三爪龙、 三脚虎、 红顶果,寒、甘、酸、毒, ,清热、消肿、解毒、散瘀、热解毒,"['感冒发热，咳嗽，小儿高热惊风，咽喉肿痛，白喉，黄疸型肝炎，细菌性痢疾，阿米巴痢疾，月经过多', '腮腺炎，毒蛇咬伤，眼结膜炎，疔疮肿毒，带状疱疹，湿疹']",感冒 遍身壮热 咳嗽 惊风 咽喉肿痛 黄疸 痢不止 月经过多 疮疥 丹疹 急性湿疹,全国中草药汇编
71700,蛇含,五匹风、 五爪龙,寒、苦, ,清热、止咳、解毒、化痰、热解毒,"['外感咳嗽，百日咳，咽喉肿痛，小儿高热惊风，疟疾，痢疾', '腮腺炎，乳腺炎，毒蛇咬伤，带状疱疹，疔疮，痔疮，外伤出血']",外感 咳嗽 咽喉肿痛 惊风 疟 痢不止 丹疹 疔疮 痔疮 出血,全国中草药汇编
71800,蛇胆,missing,凉、苦、甘, ,镇痉、清热、解毒、化痰、热解毒,['小儿肺炎，百日咳，支气管炎，咳嗽痰喘，痰热惊厥，急性风湿性关节炎'],咳嗽 痰喘 痰热 寒湿,全国中草药汇编
71900,酸水草,抱茎眼子菜、 穿叶眼子菜,凉、淡, ,解表、渗湿,['湿疹，皮肤瘙痒'],急性湿疹 皮肤瘙痒,全国中草药汇编
72000,土密树,土知母、 补脑根、 逼迫子、 补锅树,平、苦、淡, ,清热、调经、解毒、安神、热解毒,['神经衰弱，月经不调：根皮0.5～1两，水煎服'],精神不守 月经不调,全国中草药汇编
72100,太白花,高山石蕊,平、淡, ,平肝、调经、止血、潜阳、平肝潜,['头晕目眩，高血压病，偏头痛，鼻衄，崩漏，月经不调，白带'],眩晕 头目眩晕 头痛 鼻衄 崩中漏下 月经不调 带下,全国中草药汇编
72200,头花猪屎豆,大丁香云南、 蓝花水豌豆、 鸡儿头、 地草果,平、甘、淡, ,清热、解毒、止泻、热解毒,['小儿肺炎，小儿腹泻，疔疖，跌打损伤，外伤感染'],腹泻 疖 跌打损伤,全国中草药汇编
72300,田旋花,箭叶旋花、 野牵牛、 猪草、 车子蔓、 曲节藤、 鸡儿弯、 中国旋花,温、咸, ,祛风、止痛、调经、活血、止痒,['神经性皮炎：鲜草适量，用70％酒精浸24小时，每天涂2次'],过敏性皮炎,全国中草药汇编
72400,托盘,树莓、 牛迭肚,平、温、苦、涩、甘、酸, ,肝肾、补肝、缩小便、补肝肾,['阳痿，遗精，尿频，遗尿'],小便利数 淋沥不断,全国中草药汇编
72500,苔水花,missing,凉、甘, ,清热、解毒、渗湿、利尿、热解毒,['扁桃体炎，尿路感染，子宫颈炎，赤白带下'],赤白带下,全国中草药汇编
72600,通天连,乳汁藤、 双飞蝴蝶, , ,消肿、解毒,['感冒，跌打，毒蛇咬伤，疮疥'],感冒 跌仆 疮疥,全国中草药汇编
72700,铁箭岩陀,十一叶木兰,凉、淡, ,避孕,['试用绝育：取种子5钱，火麻仁1两，共研末，月经净后，每日1剂，开水送服，连服2～3剂'],,全国中草药汇编
72800,铁箭矮陀,野皂角、 篦子草,平、苦、涩, ,平肝、清热、安神,['痢疾，白内障，角膜混浊，失眠，癞皮疡'],痢不止 内障 不睡,全国中草药汇编
72900,铁箍散,香血藤、 五香血藤、 黄龙藤、 蛇毒药、 香巴戟、 秤砣根、 小血藤、 野五味,平、甘、辛, ,祛风、止痛、消肿、活血、解毒、解毒消,"['根：风湿麻木，跌打损伤，胃痛，月经不调，血栓闭塞性麦管炎', '叶：疮疖，毒蛇咬伤，外伤出血']",寒湿 麻木 跌打损伤 月经不调 闭塞 疖 出血,全国中草药汇编
73000,偷筋草,四川报春花, , ,活血、散瘀,['跌打 损伤'],跌仆 冲任不固,全国中草药汇编
73100,甜地丁,紫花地丁、 地丁山东、 河南、 萝卜地丁、 痒痒草、 猫耳朵草,寒、苦、辛, ,清热、解毒,['疔疮痈肿，急性阑尾炎，一切化脓性炎症'],疔疮 痈,全国中草药汇编
73200,葶苈,missing,寒、苦、辛, ,泻肺、消肿、平喘、行水,"['痰涎壅肺，喘咳痰多，胸胁胀满，不得平卧，胸腹水肿，小便不利', '肺原性心脏病水肿']",痰饮 咳喘 多痰 两胁膈胀 水肿 大小便不通,全国中草药汇编
73300,跳八丈,藤子杜仲、 银丝杜仲、 软皮树、 橡胶藤、 臭匙羹藤,温、涩、辛, ,止痛、活血、安胎、舒筋,['跌打损伤，风湿骨痛，腰痛，胎动不安，肾炎，闭经，痛经'],跌打损伤 寒湿 骨疼 腰痛 动胎 月经不通 经前腹痛,全国中草药汇编
73400,糖茶藨,missing,平、涩, ,解毒,['肝炎'],,全国中草药汇编
73500,獭子树,野吴芋、 野莠子、 山辣子、 臭油林、 米辣子、 辣树、 野辣子、 野蜀萸、 童子骨,凉、温、苦、涩、甘、辛、毒, ,止痛、暖胃,['胃痛吐清水：1日量1钱，水煎服'],吐清水,全国中草药汇编
73600,藤檀,降香、 大香藤、 痛必灵、 梣果藤、 丁香柴,温、辛, ,止痛、理气,['茎：胃痛，腹痛，胸胁痛'],肚腹痛 胁痛,全国中草药汇编
73700,五指茄,五指丁茄、 五角茄,寒、苦、涩、毒, ,消肿、散瘀,['淋巴结炎，疮疖肿痛'],淋 疖 肿痛,全国中草药汇编
73800,五叶藤,五爪金龙、 五爪龙、 五叶茄、 五叶薯、 五齿苓,寒、甘, ,清热、通淋、止咳、利水、除寒、解毒、热解毒,['骨蒸劳热，咳嗽咳血，淋症水肿，小便不利，痈肿疮疖'],肌骨蒸热 咳嗽 咳血 淋证 水肿 大小便不通 痈 疖,全国中草药汇编
73900,五蕊梅,木茎山金梅,温、辛, ,消肿、止咳、祛瘀,"['咳嗽，月经不调', '骨折']",咳嗽 月经不调,全国中草药汇编
74000,无名异,土子、 黑石子,平、咸、甘, ,消肿、活血、止血、定痛,['跌打损伤，痈疽肿毒，创伤出血'],跌打损伤 痈 肿毒  出血,全国中草药汇编
74100,瓦楞子,蚶子壳、 毛蛤、 瓦垅,平、咸,肝、肺、胃,散结、止痛、制酸、软坚、化瘀、消痰,['顽痰积结，黏稠难咯，瘿瘤，瘰疬，癥瘕痞块，胃痛泛酸'],痰盛 瘰疬 结生瘕聚 痞积,全国中草药汇编
74200,歪头菜,两叶豆苗、 三铃子、 草豆、 野豌豆,平、甘, ,止痛、清热、补虚、理气、调肝、利尿,"['头晕，体虚浮肿，胃痛', '疔疖']",眩晕 肌体羸瘦 浮肿 疖,全国中草药汇编
74300,蜈蚣七,牌楼七、 黑驴蛋、 大口袋花、 大花囊兰,温、苦、辛、毒, ,祛风、镇痛、消肿、活血、祛瘀、利尿、活血祛,['全身浮肿，下肢水肿，小便不利，白带，风湿腰腿痛，跌打损伤'],浮肿 水肿 大小便不通 带下 寒湿 腿疼 跌打损伤,全国中草药汇编
74400,小蜡树,蚊仔树、 冬青、 山指甲、 蚊子花、 水黄杨、 千张树、 山雪子、 青皮树、 水狗骨、 转椒子、 满地红、 土茶叶、 小刀伤,寒、苦, ,止痛、清热、抑菌、消肿、解毒、杀菌、祛腐、生肌、热解毒,"['急性黄疸型传染性肝炎，痢疾，肺热咳嗽', '跌打损伤，创伤感染，烧烫伤']",黄疸 痢不止 气怒肺热 咳嗽 跌打损伤,全国中草药汇编
74500,小苦参,白花灰毛槐、 山豆根、 千层皮,寒、苦, ,除烦、清热,['喉痛，烦热不眠'],咽喉肿痛 烦热 不睡,全国中草药汇编
74600,小黄皮,九里香、 白花千只眼云南、 假鸡皮果,温、苦、辛、毒, ,止痛、通经、宣肺、止咳、活络、行气,['感冒头痛，风寒咳嗽，偏头痛，胃痛，神经痛，牙痛，风湿关节炎，跌打损伤'],感冒 头痛 寒邪 咳嗽 经前腹痛 齿痛 寒湿 跌打损伤,全国中草药汇编
74700,小黄泡,黄泡,凉、苦、涩, ,清热、解毒、利湿,['治水泻：鲜根2两水煎服'],水泻,全国中草药汇编
