,功效词根,亲友团
1186,和解表里,升阳
1187,开窃,活血、行气、清神
1188,血消肿,
1189,宣气,
1190,养筋,消肿、接骨
1191,蚀疣,
1192,经瘀,
1193,润滑,润肠、赋形剂
1194,行瘀血,泻实热
1195,清头热,
1196,除病毒,祛风湿
1197,祛民,消肿、活血、理气、通络
1198,散瞳升压,平喘、发汗、祛寒
1199,祛火,
1200,去痪,行水
1201,解疮痛,
1202,排痈,消肿、化痰、宽胸、利气
1203,凉营,
1204,下瘀血,消痈、泻热、破积滞、泻实
1205,有毒,
1206,健中,消肿、和胃
1207,结湿,和中、发汗、解暑、行水
1208,散痈,清热、消肿
1209,解素养,消肿
1210,愈溃,清热、活血、散瘀、生肌
1211,宜肺,利湿、利尿、通淋、去浊
1212,镇病,止咳、利尿
1213,壮阳道,托痘疮
1214,下热毒,利膈
1215,驱药,调味、调药、芳香药
1216,行气血,消肿毒
1217,升阳发散,透疹
1218,祛民热,退翳、清肝火
1219,和脾胃,安心、消谈饮
1220,除瘀,顺气
1221,快气利隔,消食、和胃、降逆、杀鱼蟹毒、解酲
1222,泻实热,行瘀血
1223,止能,凉血、行气、疏肝、利胆、解郁、清心
1224,除翳,清热、活血、平喘、清肝、降气、破瘀
1225,长腰力,健胃、补五脏、清痰、开膈
1226,怡神,生津、开胃、宽胸、醒酒
1227,芳香药,调味、调药、驱药
1228,热痰,利气、清化
1229,疗咽,
1230,补命门,益精、暖冲任
1231,调肝,止痛、利尿、理气、补虚
1232,是肾,明目、消疳、补肝
1233,益阳,补肾
1234,消谈饮,安心、和脾胃
1235,清肺火,通淋、软坚
1236,消气,
1237,兴奋健胃,消肿毒
1238,驱蛲,驱鞭、驱蛔虫
1239,涤热,明目、清暑
1240,泽肤,清热、润肺、益阴、填髓
1241,止务,清热
1242,清炎,祛风、除湿、接骨、续筋
1243,涩汤止痢,
1244,化刺,
1245,干肝,清热、利咽
1246,乙脑,清热、止血、凉血、驱虫、防治流感
1247,透发,通络、麻疹
1248,去面,化骨鲠
1249,定癎,镇惊、清火
1250,平顺,止咳、解痉、麻醉、止搐
1251,庋显,止痒
1252,宣壅,逐湿、疗疟
1253,化痞截疟,消食、健胃、镇痛
1254,排毒,利尿、镇痛、疗疮、退烧
1255,开噤,止泻、生津、利咽、涩肠、除痰、消疮
1256,消中,活血、利湿、健脾、调经
1257,清肺胃,生津、止渴、养阴、益五脏
1258,驱蛔虫,驱鞭、驱蛲
1259,降炎火,止鼻血
1260,宣湿,化痰、安神、开窍、醒脾
1261,收效,消肿、止血、除湿、止痢、涩肠
1262,溃脓,消痈、蚀腐
1263,下痰,泻肺、止嗽
1264,散湿毒,祛风
1265,滋补肾阴,
1266,祛湿热,
1267,固摄脾肾,行滞
1268,填骨髓,止渴、通血脉
1269,缓中,补虚、润燥
1270,截疙,降压
1271,情热,止血、凉血
1272,解毒性,止咳、化痰、行瘀
1273,发胎,养血、润燥
1274,息风止疫,清热
1275,熟用,补血、和血、干用
1276,托毒外出,养阴
