,功效词根,亲友团
177,强心,活血、解毒、消肿、调经、止痛、清热、祛瘀
178,催乳,清热、利湿、止痛、消肿、活血、利尿、祛风
179,祛寒,理气、祛风、健胃、消肿、除湿、散瘀、燥湿
180,凉肝,解毒、止血、明目、止咳、定惊、止痛、消肿
181,降火,滋阴、生津、解毒、化痰、润肺、止痢、止痛
182,强壮,止痛、消肿、活血、健脾、补虚、益肝、解毒
183,驱蛔,解毒、杀虫、止痛、止血、利湿、行气、散结
184,去腐,清热、解毒、消肿、截疟、拔毒、杀虫、活血
185,舒肝,理气、和胃、解毒、清热、解郁、利胆、化痰
186,补肝,益肾、健脾、养血、清热、消肿、益气、解毒
187,宽胸,化痰、理气、利气、止痛、止咳、解毒、散结
188,渗湿,清热、解毒、止痛、消肿、活血、利尿、祛瘀
189,解蛇毒,祛风、散瘀、活血、止咳、消肿、止血、除湿
190,健脾胃,补气、安神、强筋骨、解毒、清热、活血、调经
191,去翳,清热、止血、解毒、止痛、杀虫、生肌、安神
192,辟秽,解毒、理气、活血、消肿、止血、杀虫、行气
193,养肝,解毒、健脾、滋肾、止咳、调经、安神、清热
194,益肺,健脾、止咳、解毒、润燥、活血、补脾、祛风
195,续骨,祛风、活血、祛风湿、止痛、除湿、解毒、清热
196,调中,止痛、散寒、理气、益肾、解毒、止血、明目
197,解疮毒,止痛、祛风湿、消肿、祛风、活血、杀虫、利水
198,固脱,收敛、止血、益气、收涩、清热、消肿、止咳
199,托毒,益气、利尿、固表、补气、排脓、消肿、敛疮
200,肝肾,滋养、明目、平喘、滋补、纳气、止痛、祛风
201,除热,滋阴、养胃、止渴、解毒、止血、凉血、燥湿
202,固涩,益气、止泻、清热、补肾、生津、宁心、止血
203,消热,利湿、祛风、止痛、消肿、活血、止咳、化痰
204,敛汗,解毒、清热、止痛、消肿、化痰、健脾、止泻
205,滋肾,养肝、解毒、利水、润肺、补肺、消肿、祛风
206,化滞,消食、止痛、解毒、消积、行气、行水、消肿
207,制酸,解毒、化痰、散结、敛疮、软坚、清热、止血
208,风热,解毒、清热、散结、明目、透疹、消肿、宣肺
209,壮腰,益肾、止痛、祛风、活血、除湿、散瘀、舒筋
210,泻热,通便、解毒、清热、散瘀、导滞、行瘀、止血
211,升阳,清热、益气、解毒、调经、解表、生肌、补气
212,固表,生肌、托毒、利尿、止汗、敛疮、排脓、止血
213,暖胃,祛风、止咳、健脾、除湿、和中、祛寒、消肿
214,补益肝肾,止血、除湿、凉血、健脾、解毒、清热、活血
215,清利湿热,止痛、活血、止咳、解毒、止血、除湿、凉血
216,疏散,解毒、清热、明目、透疹、散结、宣肺、止痉
217,消瘿,解毒、软坚、止血、利咽、补血、清热、活血
218,排石,利湿、利尿、通淋、解毒、活血、止咳、利胆
219,消胀,止痛、祛风、利水、理气、除湿、导滞、活血
220,疗癣,解毒、除湿、利水、燥湿、杀疥、清热、消肿
221,去瘀,解毒、止血、止痛、消肿、清热、化痰、通经
222,逐瘀,攻毒、解毒、清热、祛风、活血、散结、通经
223,消肿毒,止痛、祛风、清湿热、除湿、解毒、活血、止血
224,镇痉,清热、止痛、祛风、活血、发汗、解表、息风
225,止泻痢,祛风、活血、止血、强筋骨、解毒、清热、利湿
226,涌吐,杀虫、止痛、消肿、除湿、止痒、毒物、痰涎
227,解热毒,清湿热、除烦渴、利二便、清热、止痛、消炎、利小便
228,消暑,清热、化湿、凉血、健脾、和胃、止渴、除烦
229,催产,消肿、行气、解毒、活血、利湿、助生、清热
230,追风,舒筋、活络、补肾、壮阳
231,舒筋络,止痛、止血、散寒、祛风、活血、利湿、散瘀
232,清凉,解表、活血、止血、止咳、清热、止痛、消肿
233,通脉,清热、止痛、解毒、利湿、散寒、温中、回阳
234,解酒,醒脾、止咳、生津、涩肠、祛风、解表、除湿
235,清虚热,除湿、凉血、祛风湿、止痛、止咳、利湿、明目
236,散血,止血、清热、消肿、凉血、止咳、化痰、止痛
237,益肠胃,理气、解毒、消肿、抗癌、养肝肾、利肝脏、明目
238,醒脾,理气、消食、解毒、化痰、温中、止痛、止血
239,强腰膝,止痛、解毒、活血、祛风湿、祛风、除湿、杀虫
240,填精,壮阳、温肾、止咳、散结、补肾、益肾、补脾
241,通利,小便、解毒、散结、凉血、二便、活血、利湿
242,除风湿,强筋骨、清热、止痛、理气、明目、利小便、消肿
243,祛腐,解毒、杀虫、消肿、清热、止痛、止血、止痒
244,祛暑,化湿、清热、活血、止血、理气、解表、和中
245,益气血,补脾、补胃、利水、祛风湿、安神、补肝肾、补五脏
246,消症,通经、破血、解毒、利水、通淋、截疟、软坚
247,清火,化痰、软坚、消肿、祛风、凉血、杀虫、散结
248,强腰,止痛、消肿、止咳、理气、润肺、解毒、清热
249,温胃,散寒、祛风、杀虫、理气、活血、止咳、化痰
250,逐饮,消肿、杀虫、化痰、散结、祛痰、通便、破积
251,去湿,清热、止痛、活血、祛风、止血、敛疮、止咳
252,镇心,解毒、平肝、清热、活血、明目、消肿、祛风
253,醒神,开窍、活血、清热、健脾、散结、催生、解毒
254,益阴,解毒、利水、润肺、通经、通便、补血、和血
255,通窍,解毒、活血、止血、散风、清热、祛风、利湿
256,健骨,祛风、活血、通络、滋阴、潜阳、解毒、止痛
257,破积,解毒、祛瘀、通便、攻毒、逐饮、泻水、止痛
258,清肠,解毒、清热、止痛、消肿、活血、止咳、利湿
