,药物名称,相似药物
271,石耳,丁癸草根、柠鸡儿果、淮草、爪瓣虎耳草、疏花婆婆纳、密蒙花、苎麻根、鹧鸪血、细刺木半夏、苧麻根、止血马唐、小黑升麻、毛地锦、青鳞鱼、棉花、油渣果、霞红报春、雉尾、玉米螟、蕹菜、鮧鱼目、蝌蚪、华东膜蕨、井口边草、苎麻皮、滇大萼虎耳草、葛叶、蚕豆叶、远志黄堇、紫油木、鸡冠花、苦瓠叶、马甲子叶、白腹锦鸡、牛舌头、龙珠根、小花盾叶薯蓣、木姜子根、红田乌草、明矾、萱草根、蝮蛇骨、倒卵叶伏石蕨、香鼬、金花菜、滇古菜、荠菜花、高枝小米草、棉毛紫菀、狭叶山黄麻、蝮蛇脂、团花龙船花、栗柄凤尾蕨、鳝鱼骨、白金古榄、绣线菊、砾玄参、蒙古芯芭、土三七、山油麻、翼柄山莴苣根、湿地匐灯藓、消毒药、小叶金花草、枣叶、残槁蔃、大花列当、匍匐南芥、钝叶酸模、扇叶虎耳草、红花隔距兰、石龙刍根、地蜂子、刺桐花、牛白藤
272,大花列当,
273,石苁蓉,
274,堂皇海菊蛤,
275,小蓟小蓟,
276,小绿芨,
277,生藤,
278,尾叶越橘,
279,网纹灰包,
280,糖荠,
281,台湾海棠,
282,沙枣花,
283,沙枣,
284,天竺桂,
285,沙红柳,
286,石床,
287,石栗子,
288,石链子,
289,菟葵,
290,东方狗脊,
291,园金柑,
292,异叶米口袋,
293,石枣子,
294,太白岩黄芪,
295,肉桂油,
296,石蒜,
297,兔子毛,
298,大苞寄生,
299,癣草,
300,锈毛络石,
301,雪山甘草,
302,石上瓜子菜,
303,石蕊,
304,土甘草,
305,葶菊,
306,绣线菊,
307,头晕药根,
308,狭叶蓬莱葛,
309,香蕉,
310,石龙刍根,淮草、苎麻根、鹧鸪血、止血马唐、棉花、油渣果、玉米螟、华东膜蕨、蕹菜、苎麻皮、滇大萼虎耳草、葛叶、鸡冠花、红田乌草、石耳、金花菜、倒卵叶伏石蕨、萱草根、荠菜花、狭叶山黄麻、团花龙船花、蒙古芯芭、山油麻、翼柄山莴苣根、湿地匐灯藓、大花列当、钝叶酸模、刺桐花
311,石榴皮,
312,土槿皮,
313,地蜂子,丁癸草根、柠鸡儿果、爪瓣虎耳草、疏花婆婆纳、密蒙花、苎麻根、细刺木半夏、苧麻根、小黑升麻、青鳞鱼、棉花、油渣果、霞红报春、雉尾、玉米螟、鮧鱼目、蝌蚪、井口边草、苎麻皮、滇大萼虎耳草、葛叶、蚕豆叶、远志黄堇、紫油木、苦瓠叶、马甲子叶、白腹锦鸡、牛舌头、龙珠根、小花盾叶薯蓣、木姜子根、红田乌草、明矾、石耳、蝮蛇骨、倒卵叶伏石蕨、萱草根、香鼬、滇古菜、高枝小米草、棉毛紫菀、蝮蛇脂、栗柄凤尾蕨、鳝鱼骨、白金古榄、绣线菊、砾玄参、土三七、山油麻、消毒药、小叶金花草、枣叶、残槁蔃、大花列当、匍匐南芥、钝叶酸模、扇叶虎耳草、红花隔距兰、毛地锦、刺桐花、牛白藤
314,鸭胆子,
315,鸦椿卫矛,
316,雪人参,
317,鹅绒藤,
318,鹅首马先蒿,
319,杧果叶,
320,射尿拐 ,
321,峨参,
322,三角叶橐吾,
323,山牡丹,
324,玫瑰花,
325,密蒙花,
326,名称,
327,山水芹菜,
328,雕骨,
329,山荔枝果,
330,滴血根,
331,木姜子根,
332,滇池海棠,
333,山红活麻,
334,木槿子,
335,滇列当,
336,木棉花,
337,牧马豆,
338,滇五味,
339,茉莉叶,
340,水苦荬根,
341,麦饭石,
342,马钱子粉,
343,软枣子,
344,深紫木蓝,
