Label,名称,Taste,Type
0.0,樱桃叶,平、甘、酸,肺、心、小肠、脾、肾
0.0,扇叶虎耳草,寒、苦,肺
0.0,野前胡,凉、苦,胃、肾
0.0,圆叶白杨树,凉、苦、涩,missing
0.0,洋葱,missing,missing
0.0,东当归,温、甘、辛,missing
0.0,心叶百合,凉、甘、淡,missing
0.0,鮧鱼目,平、甘,肺
0.0,桃耳七,温、苦,肺、胃、肝
0.0,小对叶草,平、苦,missing
0.0,大红菇,温、甘,missing
0.0,小飞扬草,凉、涩、酸,missing
0.0,小黑菇,温、咸、涩,missing
0.0,石耳,凉、甘,肺、心、胃
0.0,大花列当,温、涩、甘,missing
0.0,石苁蓉,温、咸、甘,missing
0.0,堂皇海菊蛤,寒、苦、咸,肺、胆、肾、肝
0.0,小蓟小蓟,凉、苦、甘,心、肝
0.0,小绿芨,平、甘,missing
0.0,生藤,温、甘、辛,胃、脾
0.0,尾叶越橘,温、苦,missing
0.0,网纹灰包,平、辛,missing
0.0,糖荠,寒、苦、辛,missing
0.0,台湾海棠,温、涩、甘、酸,missing
0.0,沙枣花,温、涩、甘,肺
0.0,沙枣,凉、甘、酸,肺、胃、脾、肾、肝
0.0,天竺桂,温、甘、辛,missing
0.0,沙红柳,温、甘、辛,missing
0.0,石床,温、甘、毒,missing
0.0,石栗子,寒、甘、毒,脾、肝
0.0,石链子,凉、甘、淡,肺、胃、肾
0.0,菟葵,寒、甘、毒,肺、膀胱、肝
0.0,东方狗脊,温、甘,肾
0.0,园金柑,温、苦、甘、辛、酸,missing
0.0,异叶米口袋,寒、苦、涩,missing
0.0,石枣子,凉、甘、淡,肺、肝
0.0,太白岩黄芪,温、甘,肺、心、脾
0.0,肉桂油,温、热、甘、辛,胃、脾
0.0,石蒜,温、甘、辛、毒,missing
0.0,兔子毛,凉、苦,肝
0.0,大苞寄生,温、苦、甘,missing
0.0,癣草,寒、苦、毒,missing
0.0,锈毛络石,missing,missing
0.0,雪山甘草,凉、苦、甘,missing
0.0,石上瓜子菜,寒、甘,心、肝
0.0,石蕊,凉、涩、甘,心、肝
0.0,土甘草,凉、甘、毒,肺、肾、肝
0.0,葶菊,平、苦,肝
0.0,绣线菊,凉、苦,missing
0.0,头晕药根,平、淡,肺、肾、肝
0.0,狭叶蓬莱葛,温、苦,missing
0.0,香蕉,寒、涩、甘,missing
0.0,石龙刍根,寒、涩、甘,心、脾、肝
0.0,石榴皮,温、涩、酸、毒,大肠
0.0,土槿皮,温、辛、毒,肺
0.0,地蜂子,温、甘,肺、大肠、胃、肝
0.0,鸭胆子,平、甘,肾
0.0,鸦椿卫矛,平、苦、咸、辛,肾
0.0,雪人参,平、苦,肺、胃、肾
0.0,鹅绒藤,凉、甘,肝
0.0,鹅首马先蒿,温、涩、甘,missing
0.0,杧果叶,寒、辛,肺、肝
0.0,射尿拐 ,寒、咸,肾、肝
0.0,峨参,温、甘、辛,missing
0.0,三角叶橐吾,平、苦,肺
0.0,山牡丹,温、涩,肺、心
0.0,玫瑰花,寒、苦、辛、毒,膀胱、脾、肝
0.0,密蒙花,寒、苦,胃、脾、肝
0.0,名称,凉、苦、辛、毒,脾、肝
0.0,山水芹菜,温、甘、辛,missing
0.0,雕骨,温、咸、甘,肾
0.0,山荔枝果,温、甘,missing
0.0,滴血根,温、甘,missing
0.0,木姜子根,平、淡,脾、肝
0.0,滇池海棠,温、甘、酸,胃、脾、肝
0.0,山红活麻,温、苦、辛,胃、脾、肾
